年份,指标,均值,中位数,标准差,最小值,最大值,样本量
2017,lloan,0.07383283802482496,0.0437949873671305,0.08551659995119593,0.0002008267642659,0.5643636386685785,1818
2017,top1,0.3358664452470384,0.3140469999999999,0.14613919480649412,0.041456,0.89093,3461
2017,hhi5_approx,3.663580650153391e-06,1.6634808576000002e-06,5.366787336225629e-06,2.40684196e-08,3.1881720032100006e-05,3465
2017,size,22.274220636443424,22.07314789284036,1.4944817908300625,17.80353270112184,30.89245987021005,3461
2017,age,10.927849927849929,8.0,7.926261683358983,1.0,28.0,3465
2018,lev,0.43978615541307947,0.4237245850551745,0.21567401604466901,0.0649217841348463,0.99263656471128,3570
2018,sl,0.3501792291933024,0.3296291650148809,0.18104151857520803,0.0495846053542234,1.0,3489
2018,ll,0.08436652371440607,0.045473359118262,0.10430963418927587,0.0002527487593473,1.0,3399
2018,sdr,0.8288437906502182,0.8824937715919897,0.1692774417049911,0.2658065230494556,1.0,3489
2018,cash,0.03484672558040385,0.0029359871994915996,0.07696517796706577,7.015409553326941e-06,0.5118711904962875,808
2018,ta,67676082688.043144,4109398363.54,870481812036.3433,17008562.43,27699540000000.0,3561
2018,te,11192423078.373266,2318726479.105,78212917772.53677,10968178.4,2344883000000.0,3538
2018,sloan,0.11861386184561575,0.0967896569206497,0.10301032300507433,0.000948077882555,1.0,2761
2018,lloan,0.07204688045034427,0.044629006049481,0.08277782026370803,0.0002584377079357,0.5674172353044526,1925
2018,top1,0.3341632443133951,0.310586,0.1462191580276578,0.030029,0.89093,3561
2018,hhi5_approx,3.6869616629496362e-06,1.60155378065e-06,5.537452126174649e-06,2.4118090000000004e-08,3.33336486609e-05,3570
2018,size,22.347349443547767,22.136542471172525,1.5098554853876711,16.649227447573086,30.95243692248576,3561
2018,age,11.617647058823529,9.0,8.012337926350483,1.0,29.0,3570
2019,lev,0.4417503430153488,0.4222957326878638,0.2221622908951062,0.058953163121105,1.0,3767
2019,sl,0.34794445207849184,0.3264116224635724,0.18763246647092835,0.0418360100837098,1.0,3669
2019,ll,0.08783937967305823,0.047818296660934,0.10856433991824384,0.0003070129879526,1.0,3611
2019,sdr,0.8196778317105536,0.8696319284035828,0.17071297752345949,0.2678357083972275,1.0,3669
2019,cash,0.08173190384647079,0.030671882239903497,0.11818162659819344,1.7175615580578357e-05,0.8392855839769732,2028
